,TRIP_ID,CALL_TYPE,ORIGIN_CALL,ORIGIN_STAND,TAXI_ID,TIMESTAMP,DAY_TYPE,MISSING_DATA,POLYLINE
624,1372662403620000001,B,,28.0,20000001,1372662403,A,False,"[[-8.607537, 41.162283]]"
853,1372666377620000001,A,2002.0,,20000001,1372666377,A,False,"[[-8.60427, 41.160708]]"
1170,1372669154620000001,B,,63.0,20000001,1372669154,A,False,"[[-8.593308, 41.147964]]"
1513,1372672248620000001,A,2002.0,,20000001,1372672248,A,False,"[[-8.624223, 41.159016]]"
1854,1372676157620000001,B,,10.0,20000001,1372676157,A,False,"[[-8.565732, 41.174712]]"
2002,1372681025620000001,A,11987.0,,20000001,1372681025,A,False,"[[-8.620254, 41.147082]]"
2309,1372683156620000001,B,,25.0,20000001,1372683156,A,False,"[[-8.667054, 41.155281]]"
2470,1372686716620000001,A,5850.0,,20000001,1372686716,A,False,"[[-8.605944, 41.148234]]"
2952,1372688744620000001,A,62171.0,,20000001,1372688744,A,False,"[[-8.657289, 41.153283]]"
3083,1372694464620000001,B,,30.0,20000001,1372694464,A,False,"[[-8.640648, 41.1516]]"
3340,1372696268620000001,B,,30.0,20000001,1372696268,A,False,"[[-8.607861, 41.148756]]"
3456,1372699955620000001,B,,19.0,20000001,1372699955,A,False,"[[-8.592759, 41.151258]]"
3692,1372701691620000001,B,,61.0,20000001,1372701691,A,False,"[[-8.602866, 41.143347]]"
5544,1372706392620000001,A,5602.0,,20000001,1372706392,A,False,"[[-8.660583, 41.162265]]"
6217,1372755483620000001,A,2002.0,,20000001,1372755483,A,False,"[[-8.670231, 41.237388]]"
6590,1372764043620000001,B,,19.0,20000001,1372764043,A,False,"[[-8.617131, 41.144742]]"
6747,1372769250620000001,B,,19.0,20000001,1372769250,A,False,"[[-8.602902, 41.145525]]"
7266,1372771324620000001,B,,19.0,20000001,1372771324,A,False,"[[-8.592552, 41.165982]]"
7571,1372777288620000001,B,,19.0,20000001,1372777288,A,False,"[[-8.634528, 41.158908]]"
7726,1372781284620000001,A,14277.0,,20000001,1372781284,A,False,"[[-8.680626, 41.158665]]"
8098,1372783274620000001,B,,37.0,20000001,1372783274,A,False,"[[-8.627607, 41.175369]]"
9672,1372788460620000001,B,,16.0,20000001,1372788460,A,False,"[[-8.627697, 41.175639]]"
10211,1372837588620000001,A,9742.0,,20000001,1372837588,A,False,"[[-8.64918, 41.154381]]"
10613,1372843514620000001,A,17878.0,,20000001,1372843514,A,False,"[[-8.640774, 41.161131]]"
10939,1372847969620000001,B,,7.0,20000001,1372847969,A,False,"[[-8.614242, 41.142474]]"
11451,1372852599620000001,B,,57.0,20000001,1372852599,A,False,"[[-8.625654, 41.15745]]"
11984,1372859560620000001,B,,30.0,20000001,1372859560,A,False,"[[-8.668233, 41.175666]]"
12276,1372865838620000001,A,3362.0,,20000001,1372865838,A,False,"[[-8.620011, 41.146929]]"
12523,1372869453620000001,B,,25.0,20000001,1372869453,A,False,"[[-8.607789, 41.150385]]"
12616,1372872624620000001,B,,19.0,20000001,1372872624,A,False,"[[-8.59275, 41.151357]]"
12743,1372874188620000001,B,,19.0,20000001,1372874188,A,False,"[[-8.587134, 41.171859]]"
12965,1372876350620000001,B,,19.0,20000001,1372876350,A,False,"[[-8.614764, 41.114259]]"
14508,1372880044620000001,B,,19.0,20000001,1372880044,A,False,"[[-8.692533, 41.181426]]"
15404,1372922952620000001,A,2002.0,,20000001,1372922952,A,False,"[[-8.428338, 40.886055]]"
15732,1372932415620000001,B,,19.0,20000001,1372932415,A,False,"[[-8.628786, 41.159214]]"
15859,1372936318620000001,B,,19.0,20000001,1372936318,A,False,"[[-8.617383, 41.145111]]"
16199,1372937989620000001,C,,,20000001,1372937989,A,False,"[[-8.696322, 41.190822]]"
16360,1372942169620000001,A,15769.0,,20000001,1372942169,A,False,"[[-8.586009, 41.148486]]"
16519,1372944179620000001,A,2002.0,,20000001,1372944179,A,False,"[[-8.605953, 41.173911]]"
16748,1372945695620000001,C,,,20000001,1372945695,A,False,"[[-8.603748, 41.174118]]"
17237,1372947826620000001,A,42062.0,,20000001,1372947826,A,False,"[[-8.68302, 41.166936]]"
17369,1372953386620000001,A,15420.0,,20000001,1372953386,A,False,"[[-8.657433, 41.161185]]"
17697,1372954834620000001,A,19501.0,,20000001,1372954834,A,False,"[[-8.584164, 41.148954]]"
19684,1372958814620000001,A,2002.0,,20000001,1372958814,A,False,"[[-8.557686, 41.185197]]"
19862,1373008979620000001,A,2002.0,,20000001,1373008979,A,False,"[[-8.598645, 41.112126]]"
20344,1373011233620000001,C,,,20000001,1373011233,A,False,"[[-8.584596, 41.160654]]"
