TRIP,LATITUDE,LONGITUDE
T1,41.165,-8.634
T2,41.14,-8.61
T3,41.165,-8.634
T4,41.165,-8.634
T5,41.14,-8.61
T6,41.165,-8.634
T7,0,-8.64
T8,41.155,-8.64
T9,41.155,-8.64
T10,41.155,-8.64
T11,41.165,-8.634
T12,41.14,-8.61
T13,41.155,-8.64
T14,41.155,-8.64
T15,41.155,-8.64
T16,41.165,-8.622
T17,41.165,-8.622
T18,41.14,-8.61
T19,0,-8.64
T20,41.14,-8.61
T21,41.155,-8.64
T22,41.14,-8.61
T23,41.155,-8.64
T24,0,-8.64
T25,41.14,-8.61
T26,41.155,-8.64
T27,0,-8.64
T28,41.155,-8.64
T29,41.14,-8.61
T30,41.155,-8.64
T31,41.155,-8.64
T32,41.14,-8.61
T33,41.155,-8.64
T34,41.155,-8.64
T35,41.155,-8.64
T36,41.155,-8.64
T37,41.155,-8.64
T38,41.155,-8.64
T39,41.14,-8.634
T40,41.14,-8.61
T41,41.14,-8.634
T42,0,-8.64
T43,41.155,-8.64
T44,41.14,-8.61
T45,41.155,-8.64
T46,41.14,-8.61
T47,41.14,-8.61
T48,41.155,-8.64
T49,41.14,-8.61
T50,41.155,-8.64
T51,41.165,-8.622
T52,41.165,-8.634
T53,41.14,-8.61
T54,0,-8.64
T55,41.165,-8.634
T56,41.155,-8.64
T57,0,-8.64
T58,41.14,-8.61
T59,41.14,-8.61
T60,0,-8.64
T61,41.14,-8.61
T62,41.155,-8.64
T63,41.14,-8.61
T64,41.165,-8.622
T65,41.165,-8.634
T66,41.165,-8.634
T67,41.155,-8.64
T68,0,-8.64
T69,41.14,-8.61
T70,41.155,-8.64
T71,0,-8.64
T72,41.14,-8.622
T73,41.155,-8.64
T74,41.14,-8.61
T75,41.14,-8.61
T76,41.14,-8.622
T77,41.14,-8.622
T78,41.165,-8.634
T79,41.155,-8.64
T80,41.155,-8.64
T81,41.155,-8.64
T82,41.155,-8.64
T83,41.14,-8.622
T84,41.155,-8.64
T85,41.155,-8.64
T86,41.155,-8.64
T87,41.14,-8.61
T88,0,-8.64
T89,41.14,-8.61
T90,0,-8.64
T91,0,-8.61
T92,41.155,-8.64
T93,41.14,-8.622
T94,0,-8.64
T95,41.155,-8.64
T96,41.155,-8.64
T97,0,-8.64
